"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Успешный вход курьера в систему при передаче валидных login и password","1112","testCourierLoginSuccessfully","","Wed Apr 02 15:52:57 AMT 2025","passed","Wed Apr 02 15:52:58 AMT 2025","","tests.CourierLoginTests","tests.CourierLoginTests","testCourierLoginSuccessfully"
"Успешная отправка запроса на получение списка заказов","1571","testGetOrdersReturns200","","Wed Apr 02 15:53:01 AMT 2025","passed","Wed Apr 02 15:53:02 AMT 2025","","tests.OrdersListTests","tests.OrdersListTests","testGetOrdersReturns200"
"Получение ошибки при попытке создать уже существующего курьера","1410","testCreateExistingCourierReturns409","","Wed Apr 02 15:51:54 AMT 2025","failed","Wed Apr 02 15:51:56 AMT 2025","","tests.CourierCreationTests","tests.CourierCreationTests","testCreateExistingCourierReturns409"
"Получение ошибки при попытке создать курьера без пароля","249","testCreateCourierWithoutPasswordReturns400","","Wed Apr 02 15:51:53 AMT 2025","passed","Wed Apr 02 15:51:53 AMT 2025","","tests.CourierCreationTests","tests.CourierCreationTests","testCreateCourierWithoutPasswordReturns400"
"Успешное создание курьера без параметра firstname","4075","testCreateCourierWithoutFirstnameReturns201","","Wed Apr 02 15:51:49 AMT 2025","passed","Wed Apr 02 15:51:53 AMT 2025","","tests.CourierCreationTests","tests.CourierCreationTests","testCreateCourierWithoutFirstnameReturns201"
"Получение ошибки при попытке входа курьера без логина","276","testCourierLoginWithoutLoginReturns400","","Wed Apr 02 15:52:56 AMT 2025","passed","Wed Apr 02 15:52:56 AMT 2025","","tests.CourierLoginTests","tests.CourierLoginTests","testCourierLoginWithoutLoginReturns400"
"Проверка успешного создания заказа при разных значениях поля color","655","shouldCreateOrderWithVariousColorOptions[Цвет: [BLACK, GREY]]","","Wed Apr 02 15:52:59 AMT 2025","passed","Wed Apr 02 15:53:00 AMT 2025","","tests.OrderCreationTests","tests.OrderCreationTests","shouldCreateOrderWithVariousColorOptions[Цвет: [BLACK, GREY]]"
"Проверка успешного создания заказа при разных значениях поля color","709","shouldCreateOrderWithVariousColorOptions[Цвет: []]","","Wed Apr 02 15:53:00 AMT 2025","passed","Wed Apr 02 15:53:01 AMT 2025","","tests.OrderCreationTests","tests.OrderCreationTests","shouldCreateOrderWithVariousColorOptions[Цвет: []]"
"Успешное создание курьера при передаче валидных login, password и firstname","853","testCreateCourierSuccessfully","","Wed Apr 02 15:51:53 AMT 2025","passed","Wed Apr 02 15:51:54 AMT 2025","","tests.CourierCreationTests","tests.CourierCreationTests","testCreateCourierSuccessfully"
"Получение ошибки при попытке входа курьера без пароля","60290","testCourierLoginWithoutPasswordReturns400","","Wed Apr 02 15:51:56 AMT 2025","failed","Wed Apr 02 15:52:56 AMT 2025","","tests.CourierLoginTests","tests.CourierLoginTests","testCourierLoginWithoutPasswordReturns400"
"Получение ошибки при попытке создать курьера без логина","270","testCreateCourierWithoutLoginReturns400","","Wed Apr 02 15:51:54 AMT 2025","passed","Wed Apr 02 15:51:54 AMT 2025","","tests.CourierCreationTests","tests.CourierCreationTests","testCreateCourierWithoutLoginReturns400"
"Проверка успешного создания заказа при разных значениях поля color","564","shouldCreateOrderWithVariousColorOptions[Цвет: [BLACK]]","","Wed Apr 02 15:52:58 AMT 2025","passed","Wed Apr 02 15:52:59 AMT 2025","","tests.OrderCreationTests","tests.OrderCreationTests","shouldCreateOrderWithVariousColorOptions[Цвет: [BLACK]]"
"Получение ошибки при попытке входа несуществующего курьера","601","testCourierLoginWithNonExistingParamsReturns404","","Wed Apr 02 15:52:56 AMT 2025","passed","Wed Apr 02 15:52:57 AMT 2025","","tests.CourierLoginTests","tests.CourierLoginTests","testCourierLoginWithNonExistingParamsReturns404"
"Проверка успешного создания заказа при разных значениях поля color","551","shouldCreateOrderWithVariousColorOptions[Цвет: [GREY]]","","Wed Apr 02 15:52:59 AMT 2025","passed","Wed Apr 02 15:52:59 AMT 2025","","tests.OrderCreationTests","tests.OrderCreationTests","shouldCreateOrderWithVariousColorOptions[Цвет: [GREY]]"
